clave,concepto,n_items_smae,kcal_media,kcal_sd,kcal_se,kcal_ic_low,kcal_ic_high,n_flag
011111,Arroz en grano,9,2527.662268560614,1298.3875792359602,432.79585974532006,1679.3823834597865,3375.9421536614414,ok
011112,MaĂ­z en grano,8,3695.285087719298,53.370483271766894,18.86931531833478,3658.301229695362,3732.2689457432343,ok
011113,Otros cereales,16,3000.941515538555,1090.4348879792394,272.60872199480986,2466.6284204287276,3535.2546106483824,ok
011121,Harina de maĂ­z,9,3894.620811287478,322.98096067759076,107.66032022586359,3683.606583644785,4105.635038930171,ok
011122,Harina de trigo,10,3514.938080495356,158.27549499338076,50.05110619696601,3416.8379123493028,3613.0382486414096,ok
011131,Tortillas de maĂ­z,7,2195.211038961039,67.71451058613448,25.593679308766056,2145.047427515857,2245.3746504062206,ok
011132,Tortillas de harina de trigo,2,2892.857142857143,50.50762722761031,35.71428571428555,2822.8571428571436,2962.8571428571427,low_n
011133,Pan,28,2885.8460595154747,495.62903826142,93.66508412727386,2702.262494626018,3069.4296244049315,ok
011134,Pan de caja,9,2770.357708135486,565.7729777280247,188.59099257600823,2400.71936268651,3139.996053584462,ok
011135,Galletas dulces,37,4300.902835027549,733.5871216505902,120.60097989960899,4064.5249144243157,4537.280755630783,ok
011136,Galletas saladas,9,4136.578082411415,504.3059745539933,168.10199151799776,3807.0981790361398,4466.057985786691,ok
011137,Pan dulce a granel,16,3683.5396528826323,840.4065489384878,210.10163723462196,3271.740443902773,4095.3388618624913,ok
011138,Pan dulce empaquetado,19,4020.6476333465225,669.0789076857632,153.4972286240432,3719.793065243398,4321.502201449647,ok
011139,Pasteles y pastelillos en piezas o a granel,23,3251.4781615403476,1068.8918938545708,222.8793669374428,2814.6346023429596,3688.3217207377356,ok
01113A,Pasteles y pastelillos empaquetados,9,3828.7158587158588,666.5153484478201,222.17178281594002,3393.259164396616,4264.172553035101,ok
011140,Cereales para el desayuno,63,3309.649585902071,1043.8179191279894,131.50869657359956,3051.892540617816,3567.406631186326,ok
011150,Spaghetti,19,3522.539242843952,232.81750108544705,53.41199786942814,3417.8517270198727,3627.226758668031,ok
011191,Botanas elaboradas con cereales,20,4600.626929642948,733.5373457865851,164.02393692135732,4279.140013277088,4922.113846008809,ok
011192,Tostadas,4,4131.666666666667,809.602097054816,404.801048527408,3338.256611552947,4925.076721780387,low_n
011193,Masa de maĂ­z,6,1624.0079365079366,149.38349624157786,60.98555696413907,1504.476244858224,1743.5396281576493,ok
011194,Otros productos de maĂ­z para ser preparados,3,1845.26068768493,1766.898325657713,1020.1192239491797,-154.1729912554622,3844.694366625322,low_n
011195,Otros productos de panaderĂ­a,4,2881.563492063492,2231.1913063999236,1115.5956531999618,694.9960117915671,5068.130972335417,low_n
011196,Otros productos elaborados con cereales,7,3478.7385129490394,168.72820587141968,63.77326741398353,3353.742908817632,3603.734117080447,ok
011210,Animales terrestres vivos,2,3225,1732.4116139070413,1224.9999999999998,824.0000000000005,5626,low_n
011221,Bistec de res,4,2730.3448275862065,126.61888662227672,63.30944331113836,2606.2583186963752,2854.431336476038,low_n
011222,Chuleta y costilla de res,1,3862.0689655172414,NA,NA,NA,NA,single_item
011223,Cortes especiales de res,6,2369.1666666666665,401.64903142475583,163.97253044562297,2047.7805069932456,2690.5528263400874,ok
011224,Molida de res,10,2391.7597402597403,484.56108369883094,153.23166899677932,2091.4256690260527,2692.093811493428,ok
011225,Retazo de res,4,2607.3593073593074,728.1385281385282,364.0692640692641,1893.78354978355,3320.935064935065,low_n
011226,Otros cortes de res,5,2481.6911935859303,731.0064015653494,326.91600117752597,1840.9358312779793,3122.446555893881,ok
011227,Carne de ternera,9,1722.8070175438595,468.30382076144815,156.1012735871494,1416.8485213130466,2028.7655137746724,ok
011228,Costillas y chuleta de puerco,3,1867.6236044657098,386.7418071126681,223.28548644338125,1429.9840510366826,2305.263157894737,low_n
011229,Pierna de puerco,2,1400,0,0,1400,1400,low_n
01122A,Pulpa de puerco,3,2219.047619047619,709.3160450043973,409.5238095238095,1416.3809523809523,3021.7142857142853,low_n
01122B,Lomo de puerco,2,1400,0,0,1400,1400,low_n
01122C,Milanesa,4,1400,0,0,1400,1400,low_n
01122D,Carne de cordero y cabra fresca,11,1968.7335882072723,714.1543875075004,215.32564961349567,1546.6953149648207,2390.771861449724,ok
01122F,Pollo entero o en piezas (excepto pierna,7,2338.039499425501,502.839845066939,190.05559704876705,1965.5305292099179,2710.5484696410845,ok
01122G,Carne de otras aves,8,1508.173076923077,135.23177821990828,47.8116537056062,1414.4622356600887,1601.883918186065,ok
01122H,Otras carnes comestibles frescas,3,2033.9285714285713,762.4116501173719,440.17857142857144,1171.1785714285713,2896.6785714285716,low_n
01122I,Insectos,2,3225,1732.4116139070413,1224.9999999999998,824.0000000000005,5626,low_n
011231,JamĂłn de puerco,6,2980.1311728395062,27.878066131213018,11.381172839506235,2957.824074074074,3002.4382716049386,ok
011232,Tocino de puerco,5,5234.285714285715,634.8388836258105,283.90857970947803,4677.824898055138,5790.746530516291,ok
011233,Chuleta y carne ahumada,0,NA,NA,NA,NA,NA,no_match
011234,Machaca y carne seca,2,2230,381.8376618407357,270,1700.8,2759.2,low_n
011235,Mortadela,3,3188.216490299824,621.8074520679075,359.00069983552174,2484.5751186222014,3891.857861977446,low_n
011241,VĂ­sceras de res,7,1881.7936117936117,366.0351776292755,138.348293015488,1610.6309574832553,2152.956266103968,ok
011242,VĂ­sceras de puerco,6,1683.734827264239,511.46635912856385,208.80526674401244,1274.4765044459746,2092.9931500825032,ok
011243,VĂ­sceras de aves,3,1438.888888888889,233.53166174426337,134.82956777235108,1174.6229360550808,1703.154841722697,low_n
011244,VĂ­sceras de otros animales,8,1527.1031746031747,387.9431486974801,137.15861557942466,1258.2722880675024,1795.934061138847,ok
011245,Otras piezas de pollo,4,2256.1193885448915,589.4441565741487,294.72207828707434,1678.4641151022258,2833.774661987557,low_n
011246,Carne de otras partes del puerco,5,2069.8599439775912,775.825728023582,346.95981331079855,1389.818709888426,2749.9011780667565,ok
011247,Espinazo de res,1,1515.1515151515152,NA,NA,NA,NA,single_item
011251,Salchicha y salchichĂłn de puerco,5,2894.34481109517,564.100856586487,252.27357229864896,2399.888609389818,3388.8010128005217,ok
011252,Chorizo de puerco,3,3635.3535353535353,1640.7414316914194,947.282507257613,1778.6798211286139,5492.027249578457,low_n
011253,Otros embutidos y carnes procesadas,10,4346.438596491228,1609.4076900377486,508.93939843095677,3348.917375566553,5343.959817415904,ok
011254,Carne adobada o enchilada,2,1346.0526315789475,5.5824219567358595,3.9473684210526017,1338.3157894736844,1353.7894736842106,low_n
011255,Nuggets de otras carnes,1,2882.3529411764707,NA,NA,NA,NA,single_item
011256,Otros preparados de carne fresca,11,2110.980243161094,739.2609498225974,222.89556297484597,1674.1049397303962,2547.8555465917925,ok
011310,Pescado fresco,16,1767.6468222356034,379.4929228149719,94.87323070374298,1581.6952900562671,1953.5983544149396,ok
011321,Pescado ahumado,2,1700,0,0,1700,1700,low_n
011322,AtĂşn enlatado,2,1933.3333333333335,94.28090415820628,66.66666666666663,1802.666666666667,2064,low_n
011323,Sardina enlatada,2,1975.877192982456,151.9659310444774,107.45614035087725,1765.2631578947367,2186.4912280701756,low_n
011324,Otros pescados en conserva,10,1908.4022573966472,195.87639657800725,61.94155530529142,1786.996808998276,2029.8077057950184,ok
011331,Filetes de pescado rebozados o empanizados,1,2761.904761904762,NA,NA,NA,NA,single_item
011332,Surimi y otras preparaciones de pescado,0,NA,NA,NA,NA,NA,no_match
011341,CamarĂłn fresco,0,NA,NA,NA,NA,NA,no_match
011342,Mariscos frescos,9,1438.6243386243386,479.28922978180145,159.76307659393382,1125.4887085002283,1751.759968748449,ok
011343,CamarĂłn y otros mariscos congelados,0,NA,NA,NA,NA,NA,no_match
011351,Mariscos ahumados,1,1981.818181818182,NA,NA,NA,NA,single_item
011352,Mariscos en conserva,4,1070.3896103896104,610.0756215528066,305.0378107764033,472.5155012678599,1668.263719511361,low_n
011360,Otras preparaciones de mariscos,3,1800,57.14285714285711,32.99144395369289,1735.336769850762,1864.663230149238,low_n
011370,HĂ­gados,4,2371.111111111111,220.74074074074065,110.37037037037032,2154.785185185185,2587.4370370370366,low_n
011411,Leche entera fresca,11,1005.4924242424242,1314.809566087712,396.430000134812,228.48962397819275,1782.4952245066556,ok
011412,Leche no pasteurizada (leche bronca),1,608.3333333333333,NA,NA,NA,NA,single_item
011420,Leche baja en grasa,21,489.5943350553942,133.02245475673067,29.027879431026516,432.69969137058223,546.4889787402062,ok
011432,Leche en polvo,6,4453.061868686869,655.7818076765608,267.7218019012578,3928.327136960404,4977.796600413334,ok
011433,Crema,16,2488.0526135049163,864.421306596353,216.10532664908825,2064.486173272703,2911.6190537371294,ok
011441,Leche de soya,2,482.91666666666674,217.4353352148634,153.75,181.56666666666672,784.2666666666668,low_n
011442,Otras leches,4,658.95305907173,85.43798468109753,42.718992340548766,575.2238340842543,742.6822840592056,low_n
011451,Queso fresco,16,2149.3191321820354,805.681070803048,201.420267700762,1754.535407488542,2544.102856875529,ok
011452,Queso amarillo,8,2974.1797554297555,498.87204611687974,176.37790337682685,2628.479064811175,3319.880446048336,ok
011454,Queso Oaxaca o asadero,4,2642.857142857143,867.6690522763594,433.8345261381797,1792.5414716263108,3493.1728140879754,low_n
011455,Queso aĂ±ejo y Cotija,4,3343.8218390804595,503.1884892372691,251.59424461863455,2850.697119627936,3836.946558532983,low_n
011456,Otros quesos,46,3496.586406213692,611.2469712478634,90.12344913454115,3319.9444459099914,3673.2283665173927,ok
011460,Yogurt y bebidas fermentadas a base de leche,51,797.0269529003743,244.4219158873678,34.22591409170505,729.9441612806324,864.1097445201162,ok
011471,Bebidas a base de leche,21,1563.006684050551,1257.3486099837087,274.37596096180255,1025.229800565418,2100.783567535684,ok
011472,Cajeta,0,NA,NA,NA,NA,NA,no_match
011473,Otros productos de leche,21,853.7325517269968,377.3222044429164,82.33845539272701,692.3491791572519,1015.1159242967417,ok
011481,Huevo de gallina,19,2576.667037987473,1825.774957937681,418.86150185776705,1755.6984943462498,3397.6355816286964,ok
011482,Otros huevos,4,1628.3282130056323,336.5319566645614,168.2659783322807,1298.5268954743622,1958.1295305369024,low_n
011490,Otros productos lĂˇcteos,2,2658.3333333333335,2557.369525291347,1808.3333333333335,-886,6202.666666666667,low_n
011511,Aceite de oliva,3,8800,0,0,8800,8800,low_n
011512,Otros aceites vegetales comestibles,15,8800,0,0,8800,8800,ok
011520,Mantequilla,5,6216.190476190476,3273.50492089445,1463.9559055600123,3346.836901292852,9085.5440510881,ok
011530,Margarina,4,7787.878787878788,2796.4500978345036,1398.2250489172518,5047.357692000975,10528.399883756601,low_n
011591,Manteca de puerco,1,9750,NA,NA,NA,NA,single_item
011592,ChicharrĂłn,3,6000,0,0,6000,6000,low_n
011593,Otras grasas animales comestibles,9,6863.492063492064,1984.7262587055839,661.575419568528,5566.804241137748,8160.179885846379,ok
011611,Aguacate,6,1512.7598566308245,305.4790915372967,124.71131689255532,1268.325675521416,1757.194037740233,ok
011612,Guayaba,2,591.6945957268538,118.27079278958071,83.63007959782155,427.77963971512355,755.6095517385841,low_n
011613,Mango,5,486.131991026318,152.67110959938535,68.27659585290927,352.30986315461587,619.9541188980202,ok
011614,Papaya,2,393.796992481203,1.3291480849371515,0.939849624060173,391.9548872180451,395.6390977443609,low_n
011615,PiĂ±a,2,500,0,0,500,500,low_n
011616,Otros plĂˇtanos: Chiapas,4,908.0439193221148,56.6086321892058,28.3043160946029,852.5674597766931,963.5203788675365,low_n
011617,Otras frutas tropicales,29,2019.9805898108316,2168.582870681259,402.69572953611834,1230.6969599200397,2809.2642197016235,ok
011621,LimĂłn,1,202.6143790849673,NA,NA,NA,NA,single_item
011622,Naranja,6,478.9526068108272,66.51020209819914,27.15267630499584,425.73336125303535,532.171852368619,ok
011623,Toronja,2,333.3333333333333,0,0,333.3333333333333,333.3333333333333,low_n
011624,Otros cĂ­tricos frescos,5,500.71713615023475,43.289596485257036,19.35969609191414,462.772131810083,538.6621404903865,ok
011631,Chabacano y melocotĂłn,3,417.8691678691679,57.40391113070809,33.14216354385167,352.9105273232186,482.82780841511715,low_n
011632,Durazno,1,392.156862745098,NA,NA,NA,NA,single_item
011633,Manzana y perĂłn,13,585.2575159457436,47.1344100108277,13.072733240983265,559.6349587934164,610.8800730980709,ok
011634,Pera,12,540.0062365538556,73.00052805645161,21.073437262188584,498.702299519966,581.3101735877452,ok
011635,Otras frutas de hueso o pepita,8,1083.007493561291,822.1615216415072,290.6779935916801,513.2786261215981,1652.736361000984,ok
011641,Fresas,2,318.95227970706355,0.459377190707035,0.32482872667137025,318.31561540278767,319.58894401133944,low_n
011642,Otras bayas,4,531.0284852423355,65.53619819647278,32.76809909823639,466.80301100979216,595.2539594748788,low_n
011651,MelĂłn,7,345.85106854659927,11.004689448157725,4.159381647903138,337.6986805167091,354.00345657648944,ok
011652,SandĂ­a,2,300,0,0,300,300,low_n
011653,Uva,7,659.6211860846985,29.353102079327485,11.094429758599064,637.8761037578444,681.3662684115526,ok
011654,Otras frutas frescas,14,680.609308495314,301.5617615818669,80.59577091366818,522.6415975045245,838.5770194861036,ok
011660,Fruta congelada,7,641.5537376192804,212.35603123501068,80.2630354360718,484.2381881645796,798.8692870739811,ok
011670,Frutos secos o deshidratados,13,2561.1450678330993,552.6276803622443,153.27134136821505,2260.733238751398,2861.5568969148007,ok
011680,Nueces y otros frutos secos,49,5984.245233224825,824.175001852865,117.7392859789807,5753.4762327060225,6215.014233743627,ok
011691,Frutas en conserva,25,890.787217628165,705.9923416620708,141.19846833241417,614.0382196966332,1167.5362155596968,ok
011692,Frutas secas,6,5279.091960670908,3052.102901655365,1246.0157919205985,2836.9010085065347,7721.2829128352805,ok
011711,Col,4,284.09722222222223,63.473983660936725,31.736991830468362,221.89271823450423,346.3017262099402,low_n
011712,Lechuga,2,133.57228195937873,52.04035570022858,36.79808841099163,61.448028673835125,205.69653524492233,low_n
011713,Otras hortalizas de hoja o tallo: acelgas,33,341.295710667695,168.08919670911075,29.2605733545982,283.94498689268255,398.64643444270746,ok
011721,Calabaza,6,183.3544926057049,41.224868540469494,16.82998210624416,150.36772767746635,216.34125753394346,ok
011722,Chayote,2,213.75,33.58757210636101,23.75,167.2,260.3,low_n
011723,Chile jalapeĂ±o,2,307.43589743589746,17.768324245200432,12.56410256410257,282.81025641025644,332.0615384615385,low_n
011724,Chile poblano,1,468.75,NA,NA,NA,NA,single_item
011725,Chile serrano,0,NA,NA,NA,NA,NA,no_match
011726,Otros chiles frescos o refrigerados,5,354.82179744552093,37.88884351594289,16.944405938100086,321.6107618068448,388.0328330841971,ok
011727,Jitomate (tomate rojo),5,187.38521521018606,22.530526525969098,10.075957776185817,167.63633796886185,207.13409245151027,ok
011728,Pepino,2,220.67307692307693,94.50754094704817,66.82692307692307,89.69230769230774,351.65384615384613,low_n
011729,Tomate verde,3,331.3953488372093,79.55562085161546,45.93145911422799,241.36968897332247,421.4210087010962,low_n
01172A,Otras hortalizas frutales,7,435.2126835582718,397.2642064537636,150.1517564377256,140.91524094032962,729.510126176214,ok
011731,ChĂ­charo,3,677.3135669362084,245.5415513986105,141.7634807972261,399.4571445736453,955.1699892987715,low_n
011732,Ejote,1,349.20634920634916,NA,NA,NA,NA,single_item
011733,Otras legumbres verdes,4,827.4909589516387,406.01520500301416,203.00760250150708,429.5960580486849,1225.3858598545926,low_n
011741,Aceitunas,5,1722.095238095238,259.9323128359301,116.24526420997616,1494.2545202436847,1949.9359559467914,ok
011742,Ajo,0,NA,NA,NA,NA,NA,no_match
011743,Cebolla,6,413.78528592244044,169.52752636181881,69.20932282378001,278.13501318783165,549.4355586570492,ok
011744,ChampiĂ±ones,13,638.126744127586,927.6040600576871,257.27107706665913,133.8754330769341,1142.378055178238,ok
011745,Elote,4,715.1352018079959,454.8360003249784,227.4180001624892,269.39592148951715,1160.8744821264747,low_n
011746,Nopal,3,193.94337039634044,66.38337656328943,38.32646032853145,118.82350815241881,269.0632326402621,low_n
011747,RĂˇbano,1,163.46153846153845,NA,NA,NA,NA,single_item
011748,Zanahoria,3,391.4772727272727,36.412431750027515,21.022727272727263,350.27272727272725,432.68181818181813,low_n
011749,Otras hortalizas de raĂ­z,8,409.6479517350041,244.33488981167278,86.38542873315085,240.33251141802842,578.9633920519798,ok
011751,Papa,10,838.078183810349,89.7089480358482,28.368460229096875,782.476001761319,893.6803658593789,ok
011752,Betabel,2,480.43184885290145,9.542601635445994,6.747638326585701,467.2064777327935,493.65721997300943,low_n
